,^STOXX
2022-01-01,488.7099914550781
2022-01-02,488.7099914550781
2022-01-03,489.989990234375
2022-01-04,494.0199890136719
2022-01-05,494.3500061035156
2022-01-06,488.1600036621094
2022-01-07,486.25
2022-01-08,486.25
2022-01-09,486.25
2022-01-10,479.0400085449219
2022-01-11,483.0799865722656
2022-01-12,486.20001220703125
2022-01-13,486.04998779296875
2022-01-14,481.1600036621094
2022-01-15,481.1600036621094
2022-01-16,481.1600036621094
2022-01-17,484.510009765625
2022-01-18,479.7900085449219
2022-01-19,480.8999938964844
2022-01-20,483.3500061035156
2022-01-21,474.44000244140625
2022-01-22,474.44000244140625
2022-01-23,474.44000244140625
2022-01-24,456.3599853515625
2022-01-25,459.5899963378906
2022-01-26,467.30999755859375
2022-01-27,470.3299865722656
2022-01-28,465.54998779296875
2022-01-29,465.54998779296875
2022-01-30,465.54998779296875
2022-01-31,468.8800048828125
2022-02-01,474.8599853515625
2022-02-02,477.010009765625
2022-02-03,468.6300048828125
2022-02-04,462.1499938964844
2022-02-05,462.1499938964844
2022-02-06,462.1499938964844
2022-02-07,465.2799987792969
2022-02-08,465.3399963378906
2022-02-09,473.3299865722656
2022-02-10,472.3500061035156
2022-02-11,469.57000732421875
2022-02-12,469.57000732421875
2022-02-13,469.57000732421875
2022-02-14,460.9599914550781
2022-02-15,467.55999755859375
2022-02-16,467.7699890136719
2022-02-17,464.54998779296875
2022-02-18,460.80999755859375
2022-02-19,460.80999755859375
2022-02-20,460.80999755859375
2022-02-21,454.80999755859375
2022-02-22,455.1199951171875
2022-02-23,453.8599853515625
2022-02-24,438.9599914550781
2022-02-25,453.5299987792969
2022-02-26,453.5299987792969
2022-02-27,453.5299987792969
2022-02-28,453.1099853515625
2022-03-01,442.3699951171875
2022-03-02,446.3299865722656
2022-03-03,437.3599853515625
2022-03-04,421.7799987792969
2022-03-05,421.7799987792969
2022-03-06,421.7799987792969
2022-03-07,417.1300048828125
2022-03-08,415.010009765625
2022-03-09,434.45001220703125
2022-03-10,427.1199951171875
2022-03-11,431.1700134277344
2022-03-12,431.1700134277344
2022-03-13,431.1700134277344
2022-03-14,436.3500061035156
2022-03-15,435.1199951171875
2022-03-16,448.45001220703125
2022-03-17,450.489990234375
2022-03-18,454.6000061035156
2022-03-19,454.6000061035156
2022-03-20,454.6000061035156
2022-03-21,454.7900085449219
2022-03-22,458.6499938964844
2022-03-23,454.0299987792969
2022-03-24,453.07000732421875
2022-03-25,453.54998779296875
2022-03-26,453.54998779296875
2022-03-27,453.54998779296875
2022-03-28,454.1700134277344
2022-03-29,462.0899963378906
2022-03-30,460.19000244140625
2022-03-31,455.8599853515625
2022-04-01,458.3399963378906
2022-04-02,458.3399963378906
2022-04-03,458.3399963378906
2022-04-04,462.19000244140625
2022-04-05,463.07000732421875
2022-04-06,455.9700012207031
2022-04-07,455.0199890136719
2022-04-08,460.9700012207031
2022-04-09,460.9700012207031
2022-04-10,460.9700012207031
2022-04-11,458.260009765625
2022-04-12,456.6499938964844
2022-04-13,456.7799987792969
2022-04-14,459.82000732421875
2022-04-15,459.82000732421875
2022-04-16,459.82000732421875
2022-04-17,459.82000732421875
2022-04-18,459.82000732421875
2022-04-19,456.2799987792969
2022-04-20,460.1000061035156
2022-04-21,461.57000732421875
2022-04-22,453.30999755859375
2022-04-23,453.30999755859375
2022-04-24,453.30999755859375
2022-04-25,445.1099853515625
2022-04-26,441.1000061035156
2022-04-27,444.30999755859375
2022-04-28,447.07000732421875
2022-04-29,450.3900146484375
2022-04-30,450.3900146484375
2022-05-01,450.3900146484375
2022-05-02,443.8299865722656
2022-05-03,446.20001220703125
2022-05-04,441.3699951171875
2022-05-05,438.260009765625
2022-05-06,429.9100036621094
2022-05-07,429.9100036621094
2022-05-08,429.9100036621094
2022-05-09,417.4599914550781
2022-05-10,420.2900085449219
2022-05-11,427.5899963378906
2022-05-12,424.3999938964844
2022-05-13,433.4800109863281
2022-05-14,433.4800109863281
2022-05-15,433.4800109863281
2022-05-16,433.6700134277344
2022-05-17,438.9700012207031
2022-05-18,433.95001220703125
2022-05-19,427.67999267578125
2022-05-20,431.1000061035156
2022-05-21,431.1000061035156
2022-05-22,431.1000061035156
2022-05-23,436.5400085449219
2022-05-24,431.5799865722656
2022-05-25,434.30999755859375
2022-05-26,434.30999755859375
2022-05-27,443.92999267578125
2022-05-28,443.92999267578125
2022-05-29,443.92999267578125
2022-05-30,446.57000732421875
2022-05-31,443.3500061035156
2022-06-01,438.7200012207031
2022-06-02,441.2300109863281
2022-06-03,440.0899963378906
2022-06-04,440.0899963378906
2022-06-05,440.0899963378906
2022-06-06,440.0899963378906
2022-06-07,442.8800048828125
2022-06-08,440.3699951171875
2022-06-09,434.3800048828125
2022-06-10,422.7099914550781
2022-06-11,422.7099914550781
2022-06-12,422.7099914550781
2022-06-13,412.5199890136719
2022-06-14,407.32000732421875
2022-06-15,413.1000061035156
2022-06-16,402.8800048828125
